ESTADÍSTICAS DE LLAMADAS A LEADS - OCTUBRE 2025,,,,,,,,,
,,,,,,,,,
MARCA,Total Leads,Total Llamadas,Leads Exitosos,% Éxito,Leads No Interesados,No Conectaron,Buzón de Voz,Rellamadas,Intentos Medio
EBRO,28,60,0,0.0%,11,25,18,1,0.00
KGM,31,58,0,0.0%,22,25,7,2,0.00
KIA_CAMPAÑA_ALJARAFE,235,623,20,8.5%,56,277,90,150,2.10
KIA_CAMPAÑA_SEVILLA,195,505,14,7.2%,47,289,49,125,1.93
Kia,188,410,22,11.7%,117,211,79,4,1.38
SWM,52,114,2,3.8%,19,54,28,2,1.50
Subaru,26,52,3,11.5%,10,24,13,0,2.00
TERRYOCASION_Octubre_2025,161,438,17,10.6%,12,282,69,38,1.65
Terry_Ocasion,170,358,9,5.3%,86,199,52,5,1.44
TOTAL GENERAL,1086,2618,87,8.0%,380,1386,405,327,1.72